studentnumber,firstname,lastname,dateofbirth,studyprogram
0873226,Junette,Gurry,1987-12-05,CMD
0983960,Leoline,MacCaughen,1993-02-12,TINF
0875514,Derrik,Garnson,2007-06-23,CMD
0807295,Christy,Rodwell,1997-09-05,CMD
0844343,Frannie,555,1997-05-08,TINF
0798488,Darbie,Habbijam,1997-10-11,AI
0973065,Glory,McLernon,2007-07-20,AI
0803417,Selie,Gunter,1974-01-05,DS
0963866,Wyatan,Lidgey,1987-08-23,DS
0946101,Rubie,De Lorenzo,1972-01-20,CMD
0834576,Bendite,Jeenes,1974-12-10,DS
0982484,Terra,Eckert,1977-11-22,TINF
0755219,Jacky,Driuzzi,1980-07-27,CMD
0970338,Nariko,Blackley,2006-07-14,DS
0869610,,,,CMD
0793967,Madeline,Kirdsch,1955-04-03,CMD
0896801,Kari,Wilmore,1970-06-18,INF
0847726,Bernard,Castree,1959-01-06,TINF
0886791,Nicol,Malenoir,1972-02-13,TINF
0988898,Clayborne,Caudle,1974-06-14,AI
0964442,Gert,Weedon,1976-02-13,DS
0988907,Ursula,Keady,1964-12-29,CMD
0836142,Cacilie,Marunchak,1991-10-20,TINF
0919519,Felicity,D'Alesco,1983-07-30,AI
0829076,Phillis,McCrie,1994-03-10,CMD
0993144,Hammad,Callard,1981-01-06,AI
0852060,Susanne,Lefort,1988-12-19,TINF
0980369,Mallissa,Fumagall,1963-06-02,AI
0962028,Melisande,Dixson,1973-02-18,INF
0909804,Rafaelita,Harradence,1978-10-11,AI
0873325,Anette,Penelli,1990-04-14,CMD
0783022,Alica,Shovelbottom,1960-01-18,AI
0947730,Katherina,Weatherley,1969-08-11,INF
0849553,Lizzie,12345,1987-06-05,CMD
0840622,Maddi,Toten,1992-04-28,CMD
0895179,Barton,Alders,2004-09-03,CMD
0908886,Shannen,Ballendine,1955-11-03,INF
0842685,Camellia,Lorant,2004-12-02,INF
0816574,Kin,Morcomb,1957-03-21,TINF
0887611,Renelle,Wooland,2006-03-11,TINF
0924538,Jessey,Janse,2008-05-26,INF
0948980,Mose,Yearns,2010-10-29,CMD
0967123,Aviva,Lilleyman,1973-02-16,DS
0770675,,,,INF
0997435,Tybi,Beavan,1955-08-04,AI
0959294,Aidan,Rennox,1982-09-15,TINF
0834057,Melisent,Bestiman,1991-11-12,INF
0842622,Maible,Vosper,2005-08-20,AI
0753569,Rossy,Hing,1990-11-19,AI
0848909,Bev,Goch,1994-12-19,CMD
0756656,Darnall,Daily,1965-11-29,CMD
0761371,Michele,Bollard,1961-02-13,AI
0925391,Edy,McGooch,1969-08-03,AI
0760729,Kiri,Summerson,1970-04-30,AI
0821615,Minerva,Harrold,1984-05-14,AI
0923988,Danila,Woltering,1983-12-04,TINF
0881231,Clemmy,Gannan,2000-08-29,CMD
0795497,Wandie,Mowsdell,1980-01-15,TINF
0922988,Nissa,Chevin,1957-06-22,CMD
0821913,Loraine,Willock,1987-04-29,DS
0997780,Edan,Beadel,1979-01-31,CMD
0954489,Luigi,Onn,1967-04-26,TINF
0902832,Donna,Halleybone,1986-12-30,TINF
0883886,,,,AI
0963647,Berthe,Champain,1989-09-07,INF
0910759,,,,AI
0956958,Hyman,Dunbar,1997-10-01,DS
0867954,Danice,Skain,1967-01-07,TINF
0956925,Shantee,Abethell,1994-01-29,CMD
0922713,Eleanore,Elce,1983-11-01,DS
0776052,Gradeigh,Gareisr,1958-11-16,DS
0948843,Ignaz,Jeannon,1957-01-15,TINF
0914386,,,,INF
0793419,Verena,Brackpool,1993-01-28,AI
0798369,Meggy,Meere,1980-06-09,DS
0985612,Adel,Belt,1974-03-25,DS
0788010,Megen,Potteridge,1970-03-30,INF
0949517,Hendrik,Pendleberry,2007-08-12,TINF
0779228,,,,DS
0927401,Cello,Brazer,2007-06-22,AI
0884314,Merell,Moxon,2008-06-15,AI
0869663,Aguistin,Ousley,1998-10-25,INF
0991729,Cosetta,Birchwood,2009-02-27,AI
0816566,Debbie,Grain,1958-03-30,TINF
0943657,Vida,Lapides,1958-03-12,INF
0893527,Ruggiero,Fifield,1976-08-18,DS
0944991,Vanny,Jerromes,1996-08-10,TINF
0959490,Abbe,Trees,1986-11-29,DS
0786259,Krissy,Danslow,1986-09-06,CMD
0940757,Friedrick,Mat_thius,1981-08-14,CMD
0782415,Ivan,Crewdson,1980-04-01,TINF
0834252,Horacio,Alban,1962-05-02,DS
0884124,Carline,Bolstridge,1979-03-03,AI
0925683,Pamelina,Rawlings,1970-11-16,TINF
0830943,Jeramey,Duckitt,1984-01-08,CMD
0812895,Wendeline,Simonou,1969-06-25,INF
0854037,Angeli,Warlton,1986-01-24,AI
0970844,Melisenda,Gagan,2004-03-24,DS
0822662,Chicky,O'Moylane,1957-07-14,TINF
0866516,Eadith,Turri,1978-08-29,DS
0805778,Flore,Hannigane,1966-07-12,CMD
0901356,Haydon,Redihalgh,1966-03-18,TINF
0761477,Jemima,Manon,1959-03-05,AI
0797817,Elisabeth,Cossans,1971-08-20,AI
0929612,Kim,Pargetter,1978-03-27,TINF
0929124,Mercie,Possek,1992-09-03,TINF
0967951,Katharina,Rimmer,2002-07-06,DS
0874757,,,,INF
0898186,Lila,Coathup,1958-09-20,CMD
0778431,Nonie,Di Lucia,1968-05-19,DS
0856318,Nikki,Wedlake,2007-10-15,INF
0968820,Kristin,Castiello,1988-05-10,INF
0898410,Dicky,McConnel,2004-12-07,AI
0804800,Shelley,Horche,1975-04-18,INF
0753008,Deirdre,Bedingfield,1970-01-28,TINF
0911774,Mufi,D'Alesio,1962-11-20,TINF
0776060,Heinrick,Castane,1970-07-13,DS
0863099,Efrem,Sisey,2005-01-27,CMD
0845053,Roxy,Rehor,1982-08-16,INF
,Shellysheldon,Skate,1971-06-16,
0781887,,,,TINF
0884966,Frankie,Kynvin,1964-08-30,CMD
0946188,Anatol,Gheorghie,1955-04-08,CMD
0782860,Burk,Guierre,1989-10-22,AI
0841900,Dolf,Gavrielly,1986-12-25,INF
0852727,Grethel,Padula,1998-03-23,AI
0770514,Lizbeth,Hugonnet,1994-11-03,TINF
0804006,Halimeda,Aveline,1962-06-05,INF
0805903,Jervis,Lidden,2003-05-08,DS
0779573,Darsie,Squelch,2001-02-08,TINF
0912016,Sheppard,Frizzell,1968-06-20,CMD
0880982,Kenna,Trayling,2004-03-16,AI
0882144,Cristy,Annand,1969-09-22,CMD
